9001,263227,181797,65852,10984,f,2023-10-04 19:30:12,2023-10-07 20:37:19,144518,271902,DY1203,4594
9002,344175,258231,65549,14169,f,2023-05-15 06:42:28,2023-05-19 06:18:43,682006,445204,CT3101,6226
9003,219955,99900,20453,13751,f,2023-12-23 19:36:42,2023-12-26 08:42:37,480224,624612,CT3103,85851
9004,344139,166278,80079,16440,f,2023-10-16 18:52:24,2023-10-20 18:28:03,271209,731127,DY1101,81342
9005,171692,95765,27907,13065,f,2023-07-13 21:36:01,2023-07-15 21:17:33,673513,583277,CT3104,34955
9006,218158,120402,74068,11370,f,2023-07-06 21:48:46,2023-07-09 10:24:44,577218,360480,CT3101,12318
9007,261984,205999,21048,9495,t,2023-01-21 08:49:46,2023-01-24 09:36:10,515867,223221,FN2103,25442
9008,318443,239498,53039,11557,f,2023-06-08 05:39:17,2023-06-11 22:06:40,721634,476224,FN2102,14349
9009,337165,209993,75912,16937,f,2023-09-27 01:14:46,2023-09-30 22:54:11,311404,785674,CT3102,34323
9010,297405,164389,60442,6728,f,2023-06-26 11:50:27,2023-06-29 22:27:12,829204,122502,DY1101,65846
9011,258798,131095,34663,9592,f,2023-05-21 04:36:41,2023-05-24 04:29:59,222136,452002,CT3104,83448
9012,373716,248054,78342,4837,f,2023-02-25 03:24:11,2023-03-01 11:12:47,242406,370130,CT3103,42483
9013,403387,254504,68654,4191,f,2023-04-27 08:45:25,2023-05-02 00:48:32,621114,523370,FN2201,76038
9014,305844,148598,55826,17741,f,2023-12-29 05:05:53,2024-01-01 18:03:17,284403,460440,DY1203,83679
9015,239792,157596,41447,14784,f,2023-03-03 08:43:43,2023-03-06 03:20:15,305404,471105,GR4101,25965
9016,188979,129439,36031,4645,f,2023-09-24 10:28:00,2023-09-26 14:57:39,614203,273306,FN2201,18864
9017,204041,111422,48720,499,f,2023-08-16 01:19:31,2023-08-18 10:00:12,521229,508208,CT3104,43400
9018,316749,212933,32323,2903,f,2023-11-24 10:02:09,2023-11-28 02:01:18,756003,425002,GR4101,68590
9019,386636,258981,81126,6803,f,2023-10-28 10:10:04,2023-11-01 21:34:00,247554,475220,FN2201,39726
9020,274638,114907,81555,10165,f,2023-04-18 04:52:05,2023-04-21 09:09:23,518396,757038,DY1202,68011
9021,280537,127612,80534,1088,f,2023-11-18 10:57:53,2023-11-21 16:53:30,391761,611109,DY1101,71303
9022,337529,185085,63879,6739,f,2023-03-24 02:17:28,2023-03-28 00:02:57,445206,632103,DY1203,81826
9023,150757,111010,23157,12676,t,2023-06-14 15:59:46,2023-06-16 09:52:23,815312,441202,DY1303,3914
9024,348441,206755,69979,10331,t,2023-08-07 17:09:18,2023-08-11 17:56:39,572127,244901,FN2302,61376
9025,209660,87695,38716,15930,f,2023-11-22 13:35:28,2023-11-24 23:49:48,639207,518508,CT3103,67319
9026,188588,104986,16072,631,t,2023-09-07 13:27:10,2023-09-09 17:50:18,444404,723103,GR4102,66899
9027,225215,119249,24834,6872,t,2023-05-07 15:37:55,2023-05-10 06:11:30,185155,342013,DY1204,74260
9028,223881,129445,16973,965,t,2023-02-23 14:41:57,2023-02-26 04:53:18,825411,505129,GR4102,76498
9029,275597,164471,37213,15982,f,2023-03-23 02:30:42,2023-03-26 07:03:59,414102,515561,CT3104,57931
9030,234234,88657,77606,12967,t,2023-10-26 10:05:23,2023-10-29 03:09:17,802119,502321,DY1205,55004
9031,285156,200773,31283,14644,f,2023-03-06 11:58:07,2023-03-09 19:10:43,124411,171226,CT3104,38456
9032,216587,126190,26510,9999,f,2023-05-06 13:48:22,2023-05-09 01:58:09,574144,246285,DY1202,53888
9033,250789,192975,7934,12111,t,2023-05-24 15:32:17,2023-05-27 13:12:06,383001,756079,DY1302,37769
9034,198954,109553,44754,11390,f,2023-12-18 16:52:07,2023-12-21 00:08:01,605755,176025,CT3101,33257
